age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
38 Female 5 3 FALSE White 1 3 0
52 Female 3 1 FALSE White 1 3 1
58 Female 2 0 TRUE Hispanic.Latino 1 1 1
54 Male 2 0 TRUE White 1 5 1
54 Female 2 0 FALSE White 1 5 1
38 Male 1 0 FALSE White 1 5 1
26 Female 3 0 FALSE White 1 4 1
57 Female 3 0 FALSE Hispanic.Latino 1 5 0
55 Male 2 0 FALSE Black 1 2 1
55 Female 3 0 FALSE White 1 4 0
29 Male 4 3 FALSE White 1 3 1
54 Female 2 0 TRUE White 1 1 1
58 Male 2 0 FALSE White 1 2 0
51 Female 4 1 FALSE Black 1 1 1
55 Male 4 0 FALSE White 1 3 0
53 Female 4 3 FALSE White 1 2 0
49 Male 1 0 FALSE White 1 5 0
26 Female 2 0 FALSE Hispanic.Latino 1 3 0
51 Female 3 0 FALSE White 1 5 1
58 Male 3 0 TRUE White 1 1 1
54 Male 2 0 FALSE White 1 5 0
43 Female 4 2 TRUE White 1 4 1
47 Male 5 3 TRUE White 1 5 1
58 Female 1 1 FALSE Black 1 2 1
55 Female 4 0 TRUE White 1 5 0
49 Female 2 0 TRUE White 1 2 0
23 Female 2 0 FALSE White 1 1 1
55 Male 3 0 TRUE White 1 1 1
59 Male 2 0 TRUE White 1 2 1
48 Female 3 2 FALSE White 1 2 0
45 Female 4 0 FALSE White 1 4 1
49 Female 5 3 FALSE White 1 2 0
44 Female 3 1 TRUE White 1 1 1
59 Female 2 0 FALSE White 1 4 0
59 Female 1 0 TRUE White 1 2 1
51 Female 5 0 TRUE Black 1 1 1
53 Female 2 0 TRUE Asian 1 3 1
59 Female 3 0 FALSE White 1 1 1
59 Female 3 0 FALSE White 1 1 0
50 Female 5 1 FALSE Black 1 1 1
48 Female 1 1 FALSE White 1 5 1
50 Female 2 1 FALSE White 1 3 1
54 Female 2 0 FALSE White 1 4 0
42 Female 3 2 TRUE White 1 3 1
41 Male 3 2 FALSE White 1 4 1
49 Male 3 1 TRUE White 1 5 0
56 Female 1 0 FALSE White 1 3 0
57 Female 2 0 FALSE White 1 1 0
56 Female 3 1 FALSE White 1 5 1
55 Female 5 1 FALSE White 1 3 1
20 Female 1 0 TRUE White 1 5 1
44 Male 1 0 FALSE White 1 3 1
57 Male 3 0 FALSE White 1 5 1
51 Female 4 2 TRUE White 1 2 1
59 Female 1 0 FALSE Black 1 1 1
56 Male 1 0 FALSE White 1 5 0
59 Female 4 0 TRUE White 1 5 1
43 Female 4 0 FALSE White 1 4 1
39 Female 4 2 FALSE Black 1 1 1
55 Female 4 0 TRUE Other 1 5 1
34 Female 5 3 TRUE White 1 1 1
45 Male 4 2 TRUE Asian 1 1 1
59 Female 2 0 FALSE White 1 3 1
55 Female 1 0 FALSE White 1 2 0
46 Female 9 3 TRUE White 1 5 0
57 Male 2 0 TRUE Asian 1 5 1
33 Female 4 2 TRUE White 1 3 0
59 Male 2 0 FALSE White 1 1 0
55 Male 4 1 FALSE White 1 2 1
51 Male 5 2 TRUE White 1 1 1
46 Female 3 0 TRUE White 1 4 0
58 Male 3 1 FALSE White 1 5 0
54 Female 3 0 FALSE White 1 2 0
33 Female 6 2 TRUE Black 1 1 1
57 Male 2 0 TRUE White 1 1 1
55 Female 3 0 TRUE Black 1 1 1
58 Female 2 0 FALSE White 1 1 1
55 Female 3 0 TRUE White 1 5 0
57 Female 3 1 TRUE Other 1 1 1
54 Male 4 1 TRUE Asian 1 3 1
44 Female 3 1 FALSE White 1 1 1
53 Female 4 2 TRUE Black 1 1 0
53 Male 2 0 FALSE White 1 5 1
40 Male 4 2 TRUE White 1 2 1
40 Female 5 2 FALSE White 1 1 0
55 Female 9 0 TRUE Black 1 1 1
52 Female 2 0 FALSE White 1 3 1
63 Female 1 0 TRUE Black 1 1 1
35 Female 4 2 TRUE White 1 4 1
70 Male 1 0 TRUE Black 1 5 1
87 Female 2 0 TRUE White 1 5 1
76 Female 2 0 FALSE White 1 5 1
80 Female 9 0 TRUE White 1 1 0
45 Female 3 1 FALSE White 1 4 1
72 Female 2 0 TRUE White 1 5 1
41 Female 3 2 TRUE Black 1 5 1
76 Female 2 0 TRUE Other 1 3 1
76 Female 6 2 FALSE Black 1 1 1
76 Female 4 0 FALSE White 1 1 0
77 Female 2 0 FALSE Black 1 1 0
81 Male 2 0 FALSE White 1 1 0
76 Female 1 0 FALSE White 1 1 1
59 Female 2 0 TRUE White 1 5 1
84 Female 2 0 FALSE White 1 1 0
82 Female 2 0 FALSE Black 1 1 1
60 Female 2 1 FALSE Black 1 1 0
77 Male 2 0 FALSE Black 1 2 0
70 Male 6 2 FALSE Black 1 1 1
66 Female 2 0 TRUE White 1 5 1
53 Female 2 0 FALSE Black 1 1 1
45 Male 5 1 TRUE Black 1 1 0
85 Male 2 0 FALSE White 1 2 0
74 Female 1 0 FALSE White 1 5 1
77 Female 2 0 FALSE White 1 5 1
84 Female 1 0 FALSE White 1 5 0
68 Male 2 0 TRUE White 1 3 1
26 Male 4 0 TRUE White 1 5 0
73 Female 2 0 FALSE White 1 1 1
87 Female 4 0 TRUE White 1 1 1
65 Female 2 0 FALSE White 1 1 1
69 Female 3 0 FALSE White 1 3 0
77 Male 2 0 TRUE White 1 3 1
77 Male 2 0 TRUE White 1 2 1
74 Female 7 3 FALSE White 1 2 0
81 Male 2 0 TRUE White 1 1 1
58 Female 4 0 FALSE Black 1 1 1
66 Female 3 0 FALSE Black 1 1 1
80 Female 2 0 FALSE White 1 1 0
87 Female 1 0 TRUE White 1 1 1
91 Male 9 0 FALSE Other 1 5 0
74 Female 2 0 TRUE White 1 1 1
71 Male 2 0 FALSE White 1 5 1
82 Female 1 0 FALSE White 1 3 1
38 Female 3 1 TRUE White 1 2 0
72 Female 3 0 FALSE White 1 2 1
70 Female 1 0 TRUE White 1 5 1
74 Male 6 3 FALSE Black 1 1 1
70 Male 2 0 FALSE White 1 1 1
80 Male 1 0 TRUE White 1 1 1
82 Male 2 0 TRUE White 1 1 1
78 Male 2 0 TRUE White 1 5 1
44 Female 2 0 TRUE White 1 5 0
86 Female 1 0 FALSE White 1 5 1
87 Male 2 0 FALSE White 1 5 1
