age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity Social.Distancing.Adherence
38 3 0 0 White TRUE
52 1 9 9 White TRUE
58 0 1 1 Hispanic.Latino TRUE
54 0 0 0 White TRUE
54 0 0 0 White TRUE
38 0 9 9 White TRUE
26 0 1 1 White TRUE
57 0 2 1 Hispanic.Latino FALSE
55 0 1 1 Black TRUE
55 0 5 3 White FALSE
29 0 9 9 White TRUE
54 0 0 0 White TRUE
58 0 1 0 White FALSE
51 1 3 3 Black TRUE
55 0 2 0 White FALSE
53 3 0 0 White TRUE
49 0 6 2 White FALSE
26 0 9 6 Hispanic.Latino FALSE
51 0 4 4 White TRUE
58 0 0 0 White TRUE
54 0 1 0 White FALSE
43 2 2 2 White TRUE
47 3 9 9 White TRUE
58 1 0 0 Black TRUE
55 0 0 0 White TRUE
49 0 6 0 White FALSE
23 0 0 0 White TRUE
55 0 2 2 White TRUE
59 1 1 1 White TRUE
48 2 2 1 White FALSE
45 0 4 4 White TRUE
49 3 1 1 White TRUE
44 1 4 4 White TRUE
59 0 9 3 White FALSE
59 0 9 9 White TRUE
51 0 0 0 Black TRUE
53 0 0 0 Asian TRUE
59 0 0 0 White TRUE
59 0 2 1 White FALSE
50 1 0 0 Black TRUE
48 1 1 1 White TRUE
50 1 0 0 White TRUE
54 0 2 0 White FALSE
42 2 1 1 White TRUE
41 2 5 5 White TRUE
49 1 0 9 White TRUE
56 0 1 0 White FALSE
57 0 5 3 White FALSE
56 1 3 3 White TRUE
55 1 0 0 White TRUE
20 0 1 1 White TRUE
44 0 0 0 White TRUE
57 0 4 4 White TRUE
51 1 2 2 White TRUE
59 0 5 5 Black TRUE
56 0 0 0 White TRUE
59 0 2 2 White TRUE
43 0 0 0 White TRUE
39 2 0 0 Black TRUE
55 0 4 4 Other TRUE
34 3 1 1 White TRUE
45 2 0 0 Asian TRUE
59 0 3 3 White TRUE
55 0 3 3 White TRUE
46 3 9 9 White TRUE
57 0 1 1 Asian TRUE
33 2 2 1 White TRUE
59 0 1 1 White TRUE
55 1 0 0 White TRUE
51 2 9 9 White TRUE
46 0 9 9 White TRUE
58 1 6 2 White FALSE
54 0 2 0 White FALSE
33 2 6 6 Black TRUE
57 0 0 0 White TRUE
55 0 9 9 Black TRUE
58 0 0 0 White TRUE
55 0 3 1 White FALSE
57 1 3 3 Other TRUE
54 1 3 3 Asian TRUE
44 1 0 0 White TRUE
53 2 9 4 Black FALSE
53 0 2 2 White TRUE
40 2 3 3 White TRUE
40 0 5 5 White TRUE
55 0 0 0 Black TRUE
52 0 1 1 White TRUE
63 0 1 1 Black TRUE
35 2 3 3 White TRUE
70 0 4 4 Black TRUE
87 0 1 1 White TRUE
76 0 2 2 White TRUE
80 0 9 0 White FALSE
45 1 2 2 White TRUE
72 0 1 1 White TRUE
41 0 0 0 Black TRUE
76 0 2 2 Other TRUE
76 2 2 2 Black TRUE
76 0 0 0 White TRUE
77 0 0 0 Black TRUE
81 0 0 0 White TRUE
76 0 1 1 White TRUE
59 0 1 1 White TRUE
84 0 1 1 White TRUE
82 0 2 2 Black TRUE
60 1 3 3 Black TRUE
77 0 3 9 Black FALSE
70 2 2 2 Black TRUE
66 0 1 1 White TRUE
53 0 3 3 Black TRUE
45 0 0 0 Black TRUE
85 0 9 0 White FALSE
74 0 1 1 White TRUE
77 0 0 0 White TRUE
84 0 9 1 White FALSE
68 0 9 9 White TRUE
26 0 8 0 White FALSE
73 0 1 1 White TRUE
87 0 0 0 White TRUE
65 0 4 4 White TRUE
69 0 1 0 White FALSE
77 0 0 0 White TRUE
77 0 0 0 White TRUE
74 3 2 1 White FALSE
81 0 9 9 White TRUE
58 0 4 4 Black TRUE
66 0 0 0 Black TRUE
80 0 4 9 White FALSE
87 0 1 1 White TRUE
91 0 9 0 Other FALSE
74 0 0 0 White TRUE
71 0 1 1 White TRUE
82 0 1 1 White TRUE
38 1 9 9 White TRUE
72 0 0 0 White TRUE
70 0 2 2 White TRUE
74 3 1 1 Black TRUE
70 0 0 0 White TRUE
80 0 0 0 White TRUE
82 0 1 1 White TRUE
78 0 7 7 White TRUE
44 0 1 0 White FALSE
86 0 0 0 White TRUE
87 0 2 2 White TRUE
70 0 1 1 Black TRUE
47 1 1 0 White FALSE
58 0 5 5 White TRUE
60 0 8 5 White FALSE
74 0 9 9 White TRUE
83 0 9 9 White TRUE
60 0 9 9 Black TRUE
54 0 3 1 White FALSE
87 0 0 0 White TRUE
47 0 2 1 Black FALSE
77 0 1 1 Black TRUE
70 0 3 1 Black FALSE
68 0 0 0 White TRUE
88 0 0 0 White TRUE
72 0 0 0 White TRUE
85 0 2 2 White TRUE
82 0 9 1 White FALSE
57 1 2 2 White TRUE
64 0 0 0 White TRUE
70 0 6 4 White FALSE
74 0 3 3 White TRUE
96 1 9 1 White FALSE
72 0 9 9 White TRUE
78 0 2 2 White TRUE
83 0 9 0 Black FALSE
65 0 1 1 Black TRUE
90 0 0 0 White TRUE
60 0 0 0 Black TRUE
87 0 1 1 White TRUE
69 0 2 2 Black TRUE
64 1 1 4 Black FALSE
50 0 1 1 White TRUE
81 0 0 0 White TRUE
73 0 4 4 White TRUE
84 1 2 2 Black TRUE
61 0 4 4 White TRUE
67 0 9 9 White TRUE
89 0 0 0 Black TRUE
79 0 1 1 Black TRUE
85 0 0 0 Black TRUE
73 1 0 0 Black TRUE
80 0 4 2 White FALSE
72 0 0 0 Black TRUE
79 0 3 0 Black FALSE
66 0 0 0 White TRUE
63 0 2 2 White TRUE
82 0 3 3 Black TRUE
69 0 1 1 Black TRUE
85 0 0 0 White TRUE
91 0 4 2 White FALSE
85 0 1 0 Black FALSE
53 3 0 0 Black TRUE
55 0 1 1 White TRUE
73 0 2 2 Black TRUE
66 0 0 0 Black TRUE
63 0 2 2 Black TRUE
65 0 2 2 White TRUE
47 2 3 0 Black FALSE
83 0 1 0 White FALSE
58 0 0 0 White TRUE
76 3 7 7 White TRUE
55 0 0 0 White TRUE
79 0 1 1 White TRUE
70 0 0 0 White TRUE
86 0 0 0 White TRUE
68 0 3 3 White TRUE
75 1 0 0 White TRUE
62 0 9 9 Black TRUE
69 0 1 1 White TRUE
80 0 1 0 White FALSE
80 0 9 9 Black TRUE
75 0 3 0 White FALSE
83 0 4 3 White FALSE
65 0 2 2 Black TRUE
59 0 5 3 White FALSE
70 0 1 1 White TRUE
76 0 0 0 Black TRUE
77 0 0 0 White TRUE
99 0 1 1 Other TRUE
44 0 9 9 White TRUE
67 0 1 1 White TRUE
55 0 9 9 Black TRUE
90 0 0 0 White TRUE
77 0 5 4 White FALSE
64 0 0 0 White TRUE
50 2 4 2 White TRUE
62 0 2 2 White TRUE
81 0 1 9 White FALSE
58 3 0 0 Other TRUE
75 0 2 0 White FALSE
70 0 0 0 Black TRUE
75 0 3 2 Black FALSE
58 0 0 0 White TRUE
88 1 0 0 White TRUE
78 0 1 1 White TRUE
67 0 5 1 Black FALSE
57 1 9 0 White FALSE
84 0 1 1 White TRUE
73 1 9 9 White TRUE
85 0 0 0 White TRUE
71 0 2 1 White FALSE
63 0 0 0 White TRUE
79 0 3 0 White FALSE
86 1 1 2 White FALSE
45 2 8 4 White FALSE
81 0 9 0 White FALSE
67 0 1 1 White TRUE
85 0 1 1 White TRUE
85 0 0 0 Black TRUE
65 0 2 3 Black FALSE
56 0 3 0 White FALSE
70 0 2 2 White TRUE
83 0 1 1 White TRUE
46 0 9 7 White FALSE
74 0 3 0 White FALSE
62 0 9 9 White TRUE
85 0 0 0 White TRUE
84 0 2 2 White TRUE
76 0 0 0 White TRUE
65 1 0 0 Black TRUE
66 0 2 1 White FALSE
85 0 1 1 White TRUE
47 1 9 9 White TRUE
59 0 4 3 Hispanic.Latino FALSE
72 0 0 0 White TRUE
60 0 9 9 White TRUE
57 0 1 1 Black TRUE
54 0 1 1 White TRUE
66 1 9 9 Other TRUE
82 0 2 2 White TRUE
77 0 1 1 White TRUE
80 0 9 1 White FALSE
58 0 0 0 White TRUE
56 0 0 0 Hispanic.Latino TRUE
78 0 0 0 White TRUE
60 0 0 0 White TRUE
65 0 3 3 White TRUE
37 2 9 7 White FALSE
70 0 1 1 Black TRUE
58 0 4 4 Black TRUE
69 0 9 9 White TRUE
52 0 1 1 Black TRUE
53 0 1 1 White TRUE
66 0 2 2 Black TRUE
49 0 1 0 Other FALSE
57 0 1 1 Black TRUE
75 0 9 6 White FALSE
74 0 0 0 Hispanic.Latino TRUE
77 0 1 1 White TRUE
58 0 2 2 White TRUE
69 0 0 0 Black TRUE
91 0 0 0 White TRUE
75 0 6 2 White FALSE
87 0 1 1 White TRUE
74 0 2 2 Black TRUE
51 2 9 9 White TRUE
74 0 1 0 White FALSE
62 0 2 2 Black TRUE
86 0 2 0 White FALSE
85 0 0 0 White TRUE
61 0 0 0 White TRUE
75 0 0 0 White TRUE
50 0 3 0 Asian FALSE
71 0 1 1 White TRUE
80 0 1 8 White FALSE
65 0 3 3 White TRUE
47 0 9 9 White TRUE
85 0 3 0 Black FALSE
83 0 4 4 White TRUE
66 0 1 1 White TRUE
73 0 0 0 White TRUE
73 0 3 3 Black TRUE
74 0 1 1 White TRUE
79 1 1 0 White FALSE
58 1 0 0 White TRUE
67 0 1 1 White TRUE
74 1 0 0 Black TRUE
65 0 2 2 White TRUE
69 0 6 9 White FALSE
81 1 0 0 White TRUE
53 1 1 1 White TRUE
67 0 9 9 White TRUE
87 0 6 6 White TRUE
50 0 0 0 White TRUE
85 0 2 0 White FALSE
92 2 1 1 Black TRUE
72 0 3 0 White FALSE
51 0 1 0 White FALSE
75 0 0 0 White TRUE
83 0 1 1 White TRUE
83 0 0 0 White TRUE
72 0 5 5 White TRUE
57 0 2 2 Black TRUE
84 0 1 1 White TRUE
45 1 5 5 Hispanic.Latino TRUE
65 0 1 3 White FALSE
86 0 0 0 White TRUE
77 0 1 1 White TRUE
86 0 2 2 White TRUE
57 0 2 2 White TRUE
72 0 1 1 Black TRUE
84 2 9 9 White TRUE
68 0 0 0 White TRUE
73 0 0 0 Black TRUE
65 0 2 2 Black TRUE
66 1 3 1 Black FALSE
85 0 0 0 Black TRUE
77 0 0 0 White TRUE
57 0 0 0 White TRUE
35 3 0 0 White TRUE
52 0 9 9 White TRUE
