age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity
38 3 1 1 White
52 1 9 9 White
58 0 1 1 Hispanic.Latino
54 0 5 5 White
54 0 0 0 White
38 0 9 9 White
26 0 1 1 White
57 0 2 1 Hispanic.Latino
55 0 1 1 Black
55 0 5 3 White
29 3 9 0 White
54 0 0 0 White
58 0 1 0 White
51 1 3 3 Black
55 0 2 0 White
53 3 0 0 White
49 0 6 2 White
26 0 9 6 Hispanic.Latino
51 0 4 4 White
58 0 0 0 White
54 0 1 0 White
43 2 2 2 White
47 3 9 9 White
58 1 0 0 Black
55 0 1 1 White
49 0 6 0 White
23 0 0 0 White
55 0 2 2 White
59 0 1 2 White
48 2 2 1 White
45 0 4 4 White
49 3 1 1 White
44 1 4 4 White
59 0 9 3 White
59 0 9 9 White
51 0 0 0 Black
53 0 0 0 Asian
59 0 0 0 White
59 0 2 1 White
50 1 0 0 Black
48 1 1 1 White
50 1 0 0 White
54 0 2 0 White
42 2 1 1 White
41 2 5 5 White
49 1 1 1 White
56 0 1 0 White
57 0 5 3 White
56 1 3 3 White
55 1 0 0 White
20 0 1 1 White
44 0 0 0 White
57 0 4 4 White
51 3 3 3 White
59 0 5 5 Black
56 0 4 4 White
59 0 2 2 White
43 0 0 0 White
39 2 0 0 Black
55 0 4 4 Other
34 3 1 1 White
45 2 0 0 Asian
59 0 3 3 White
55 0 3 0 White
46 3 9 9 White
57 0 1 1 Asian
33 2 3 2 White
59 0 1 1 White
55 1 0 0 White
51 2 9 9 White
46 0 6 0 White
58 1 6 2 White
54 0 2 0 White
33 2 6 6 Black
57 0 0 0 White
55 0 9 9 Black
58 0 0 0 White
55 0 3 1 White
57 0 0 0 Other
54 1 3 3 Asian
44 1 1 1 White
53 2 9 4 Black
53 0 2 2 White
40 2 3 3 White
40 0 0 0 White
55 0 0 0 Black
52 0 0 0 White
63 0 1 1 Black
35 2 3 3 White
70 0 4 4 Black
87 0 1 1 White
76 0 2 2 White
80 0 9 0 White
45 1 2 2 White
72 0 1 1 White
41 0 0 0 Black
76 0 2 2 Other
76 2 2 2 Black
76 0 3 3 White
77 0 0 0 Black
81 0 0 0 White
