Q1..Health.Quality age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q18..College.Degree Q19.20..Race...Ethnicity trump_approve_score age_race_ethnicity_asian age_race_ethnicity_black age_race_ethnicity_hispanic age_race_ethnicity_other age_race_ethnicity_white Social.Distancing.Adherence
3 38 Female 5 3 2 9 TRUE White 3 0 0 0 0 38 TRUE
1 52 Female 3 1 9 9 FALSE White 3 0 0 0 0 52 TRUE
3 58 Female 2 0 1 1 TRUE Hispanic.Latino 1 0 0 58 0 0 TRUE
2 54 Male 6 1 2 9 FALSE White 5 0 0 0 0 54 TRUE
3 54 Female 2 0 0 0 TRUE White 5 0 0 0 0 54 TRUE
2 38 Male 1 0 9 9 FALSE White 2 0 0 0 0 38 TRUE
0 26 Female 3 0 1 1 FALSE White 4 0 0 0 0 26 TRUE
3 57 Female 3 0 2 1 TRUE Hispanic.Latino 5 0 0 57 0 0 FALSE
2 55 Male 2 0 1 1 FALSE Black 1 0 55 0 0 0 TRUE
1 55 Female 3 0 5 3 FALSE White 3 0 0 0 0 55 FALSE
3 29 Male 9 3 7 9 TRUE White 3 0 0 0 0 29 TRUE
3 54 Female 2 0 0 0 TRUE White 1 0 0 0 0 54 TRUE
2 58 Male 2 0 1 0 FALSE White 3 0 0 0 0 58 FALSE
1 51 Female 3 1 3 3 FALSE Black 1 0 51 0 0 0 TRUE
3 55 Male 4 0 2 0 FALSE White 3 0 0 0 0 55 FALSE
1 53 Female 4 3 0 9 TRUE White 2 0 0 0 0 53 TRUE
2 49 Male 1 0 6 2 FALSE White 5 0 0 0 0 49 FALSE
2 26 Female 2 0 9 6 FALSE Hispanic.Latino 1 0 0 26 0 0 FALSE
2 51 Female 3 0 4 4 FALSE White 5 0 0 0 0 51 TRUE
2 58 Male 3 0 0 0 TRUE White 1 0 0 0 0 58 TRUE
1 54 Male 2 0 1 0 FALSE White 5 0 0 0 0 54 FALSE
2 43 Female 4 2 2 2 FALSE White 4 0 0 0 0 43 TRUE
3 47 Male 5 3 9 9 TRUE White 5 0 0 0 0 47 TRUE
3 58 Female 1 1 0 0 FALSE Black 2 0 58 0 0 0 TRUE
3 55 Female 4 0 1 9 FALSE White 5 0 0 0 0 55 TRUE
3 49 Female 2 0 6 0 TRUE White 2 0 0 0 0 49 FALSE
2 23 Female 2 0 0 0 FALSE White 2 0 0 0 0 23 TRUE
2 55 Male 3 0 2 2 TRUE White 5 0 0 0 0 55 TRUE
2 59 Male 2 1 1 9 TRUE White 2 0 0 0 0 59 TRUE
2 48 Female 3 2 2 1 FALSE White 2 0 0 0 0 48 FALSE
2 45 Female 4 0 4 4 FALSE White 4 0 0 0 0 45 TRUE
3 49 Female 5 3 1 9 TRUE White 2 0 0 0 0 49 TRUE
3 44 Female 3 1 4 4 TRUE White 1 0 0 0 0 44 TRUE
2 59 Female 2 0 9 3 FALSE White 4 0 0 0 0 59 FALSE
1 59 Female 1 0 9 9 FALSE White 2 0 0 0 0 59 TRUE
2 51 Female 5 0 0 0 TRUE Black 1 0 51 0 0 0 TRUE
3 53 Female 2 0 0 0 FALSE Asian 3 53 0 0 0 0 TRUE
2 59 Female 3 0 0 0 FALSE White 1 0 0 0 0 59 TRUE
2 59 Female 3 0 2 1 FALSE White 3 0 0 0 0 59 FALSE
2 50 Female 5 1 0 0 FALSE Black 1 0 50 0 0 0 TRUE
2 48 Female 1 1 1 1 TRUE White 5 0 0 0 0 48 TRUE
3 50 Female 2 1 0 0 FALSE White 3 0 0 0 0 50 TRUE
2 54 Female 2 0 2 0 FALSE White 4 0 0 0 0 54 FALSE
3 42 Female 3 2 1 1 TRUE White 3 0 0 0 0 42 TRUE
2 41 Male 3 2 5 5 FALSE White 3 0 0 0 0 41 TRUE
0 49 Male 3 1 1 9 FALSE White 5 0 0 0 0 49 TRUE
1 56 Female 1 0 1 0 FALSE White 5 0 0 0 0 56 FALSE
1 57 Female 2 0 5 3 FALSE White 1 0 0 0 0 57 FALSE
3 56 Female 3 1 3 3 FALSE White 5 0 0 0 0 56 TRUE
3 55 Female 5 1 0 0 TRUE White 3 0 0 0 0 55 TRUE
3 20 Female 1 0 1 1 TRUE White 5 0 0 0 0 20 TRUE
0 44 Male 1 0 0 0 FALSE White 3 0 0 0 0 44 TRUE
3 57 Male 3 0 4 4 FALSE White 5 0 0 0 0 57 TRUE
3 51 Female 9 1 1 9 TRUE White 2 0 0 0 0 51 TRUE
1 59 Female 1 0 5 5 FALSE Black 5 0 59 0 0 0 TRUE
2 56 Male 1 0 0 9 FALSE White 5 0 0 0 0 56 TRUE
2 59 Female 4 0 2 2 FALSE White 5 0 0 0 0 59 TRUE
0 43 Female 4 0 0 0 FALSE White 4 0 0 0 0 43 TRUE
3 39 Female 4 2 0 0 FALSE Black 1 0 39 0 0 0 TRUE
2 55 Female 4 0 4 4 TRUE Other 5 0 0 0 55 0 TRUE
3 34 Female 5 3 1 1 TRUE White 5 0 0 0 0 34 TRUE
1 45 Male 4 2 0 0 TRUE Asian 1 45 0 0 0 0 TRUE
